"District","District Code","Special Education Status","Count","%"
"Sterling School District","=""1360011""","Students with Disabilities","*","*"
"Stonington School District","=""1370011""","Students with Disabilities",40,11.5
"Stratford School District","=""1380011""","Students with Disabilities",119,11.7
"Suffield School District","=""1390011""","Students with Disabilities",33,9.8
"The Bridge Academy District","=""2690013""","Students with Disabilities",15,31.9
"The Gilbert School District","=""9020022""","Students with Disabilities",24,26.1
"Thomaston School District","=""1400011""","Students with Disabilities",25,15.7
"Thompson School District","=""1410011""","Students with Disabilities",13,8.7
"Tolland School District","=""1420011""","Students with Disabilities",21,6.2
"Torrington School District","=""1430011""","Students with Disabilities",109,11.7
"Trailblazers Academy District","=""2780013""","Students with Disabilities",19,43.2
"Trumbull School District","=""1440011""","Students with Disabilities",23,2.7
"Unified School District #1","=""3360015""","Students with Disabilities","N/A","N/A"
"Unified School District #2","=""3470015""","Students with Disabilities",49,34.5
"Union School District","=""1450011""","Students with Disabilities","N/A","*"
"Vernon School District","=""1460011""","Students with Disabilities",86,14.8
"Voluntown School District","=""1470011""","Students with Disabilities","N/A","N/A"
"Wallingford School District","=""1480011""","Students with Disabilities",61,7.0
"Waterbury School District","=""1510011""","Students with Disabilities",1083,28.1
"Waterford School District","=""1520011""","Students with Disabilities",45,11.2
"Watertown School District","=""1530011""","Students with Disabilities",58,13.9
"West Hartford School District","=""1550011""","Students with Disabilities",134,9.6
"West Haven School District","=""1560011""","Students with Disabilities",98,8.9
"Westbrook School District","=""1540011""","Students with Disabilities","*","*"
"Weston School District","=""1570011""","Students with Disabilities",15,5.8
"Westport School District","=""1580011""","Students with Disabilities",30,4.3
"Wethersfield School District","=""1590011""","Students with Disabilities",42,7.3
"Willington School District","=""1600011""","Students with Disabilities",8,9.3
"Wilton School District","=""1610011""","Students with Disabilities",15,2.4
"Winchester School District","=""1620011""","Students with Disabilities",15,10.0
"Windham School District","=""1630011""","Students with Disabilities",108,15.5
"Windsor Locks School District","=""1650011""","Students with Disabilities",23,8.9
"Windsor School District","=""1640011""","Students with Disabilities",106,16.3
"Wolcott School District","=""1660011""","Students with Disabilities",32,10.5
"Woodbridge School District","=""1670011""","Students with Disabilities","*","*"
"Woodstock Academy District","=""9030022""","Students with Disabilities",6,8.0
"Woodstock School District","=""1690011""","Students with Disabilities",7,5.7

